fold,method,service_level_nominal,empirical_coverage,shortage_units,excess_units
1,normal,0.9,0.5,30.594542571187542,19.60556144086049
1,empirical,0.9,0.5,38.0,23.0
1,normal,0.95,0.5,27.64473997611011,26.013924000375827
1,empirical,0.95,0.5,38.0,23.0
1,normal,0.99,0.625,23.691306312621567,39.614851827351856
1,empirical,0.99,0.5,38.0,23.0
2,normal,0.9,0.875,0.31144479990765817,54.01394314077713
2,empirical,0.9,0.875,0.5,67.5
2,normal,0.95,1.0,0.0,67.22549378438958
2,empirical,0.95,0.875,0.25,70.25
2,normal,0.99,1.0,0.0,92.59238425147578
2,empirical,0.99,0.875,0.05000000000000071,72.44999999999999
3,normal,0.9,0.875,4.142401726032425,41.93018290328578
3,empirical,0.9,0.875,0.5999999999999996,46.400000000000006
3,normal,0.95,0.875,2.198367903114111,53.81680712777212
3,empirical,0.95,0.875,0.3000000000000007,51.2
3,normal,0.99,1.0,0.0,77.56245356981941
3,empirical,0.99,0.875,0.0600000000000005,55.04
4,normal,0.9,0.875,3.200118405249002,60.45729806349478
4,empirical,0.9,0.875,2.799999999999999,67.4
4,normal,0.95,0.875,1.8394186684882001,72.77683821631823
4,empirical,0.95,0.875,1.9000000000000021,72.19999999999999
4,normal,0.99,1.0,0.0,96.59927444469261
4,empirical,0.99,0.875,1.1799999999999997,76.03999999999999
5,normal,0.9,0.875,1.3128715550860282,49.7827011144477
5,empirical,0.9,0.875,1.0,56.2
5,normal,0.95,1.0,0.0,62.21035274109778
5,empirical,0.95,0.875,1.0,62.599999999999994
5,normal,0.99,1.0,0.0,87.98528906843173
5,empirical,0.99,0.875,1.0,67.72
6,normal,0.9,0.875,2.1736477380601222,58.15046777426342
6,empirical,0.9,1.0,0.0,60.5
6,normal,0.95,0.875,0.8054439349666858,70.38302580356034
6,empirical,0.95,1.0,0.0,68.75
6,normal,0.99,1.0,0.0,95.09034914801269
6,empirical,0.99,1.0,0.0,75.35000000000001
7,normal,0.9,0.875,0.23153220402226538,32.27832086751623
7,empirical,0.9,0.75,0.7999999999999989,35.00000000000001
7,normal,0.95,1.0,0.0,45.38389952470021
7,empirical,0.95,0.875,0.3000000000000007,44.39999999999998
7,normal,0.99,1.0,0.0,70.40210142949485
7,empirical,0.99,0.875,0.0600000000000005,52.079999999999984
